# [category_name],[id],[device],[focal_plane],[detector],[geometry],[channel]
cat,id,dev,fp,det,geo,ch

# FE9-1 Anode
"src2x",44,  11,12,31,2,75
"src2x",45,  11,12,31,2,74
"src2x",46,  11,12,31,2,73
"src2x",47,  11,12,31,2,72
"src2x",48,  11,12,31,2,87
"src2x",49,  11,12,31,2,86
"src2x",50,  11,12,31,2,85
"src2x",51,  11,12,31,2,84
"src2x",52,  11,12,31,2,71
"src2x",53,  11,12,31,2,70
"src2x",54,  11,12,31,2,69
"src2x",55,  11,12,31,2,68
"src2x",56,  11,12,31,2,83
"src2x",57,  11,12,31,2,82
"src2x",58,  11,12,31,2,81
"src2x",59,  11,12,31,2,80
"src2x",60,  11,12,31,2,67
"src2x",61,  11,12,31,2,66
"src2x",62,  11,12,31,2,65
"src2x",63,  11,12,31,2,64
"src2x",64,  11,12,31,2,127
"src2x",65,  11,12,31,2,126
"src2x",66,  11,12,31,2,125
"src2x",67,  11,12,31,2,124
"src2x",68,  11,12,31,2,111
"src2x",69,  11,12,31,2,110
"src2x",70,  11,12,31,2,109
"src2x",71,  11,12,31,2,108
"src2x",72,  11,12,31,2,123
"src2x",73,  11,12,31,2,122
"src2x",74,  11,12,31,2,121
"src2x",75,  11,12,31,2,120
"src2x",76,  11,12,31,2,107
"src2x",77,  11,12,31,2,106
"src2x",78,  11,12,31,2,105
"src2x",79,  11,12,31,2,104
"src2x",80,  11,12,31,2,119
"src2x",81,  11,12,31,2,118
"src2x",82,  11,12,31,2,117
"src2x",83,  11,12,31,2,116
"src2x",84,  11,12,31,2,103
"src2x",85,  11,12,31,2,102
"src2x",86,  11,12,31,2,101
"src2x",87,  11,12,31,2,100
"src2x",88,  11,12,31,2,115
"src2x",89,  11,12,31,2,114
"src2x",90,  11,12,31,2,113
"src2x",91,  11,12,31,2,112
"src2x",92,  11,12,31,2,99
"src2x",93,  11,12,31,2,98

# FE12-2 Y
"src2y", 0,  11,12,31,3,63
"src2y", 1,  11,12,31,3,62
"src2y", 2,  11,12,31,3,61
"src2y", 3,  11,12,31,3,60
"src2y", 4,  11,12,31,3,47
"src2y", 5,  11,12,31,3,46
"src2y", 6,  11,12,31,3,45
"src2y", 7,  11,12,31,3,44
"src2y", 8,  11,12,31,3,59
"src2y", 9,  11,12,31,3,58
"src2y",10,  11,12,31,3,57
"src2y",11,  11,12,31,3,56
"src2y",12,  11,12,31,3,43
"src2y",13,  11,12,31,3,42
"src2y",14,  11,12,31,3,41
"src2y",15,  11,12,31,3,40
"src2y",16,  11,12,31,3,55
"src2y",17,  11,12,31,3,54
"src2y",18,  11,12,31,3,53
"src2y",19,  11,12,31,3,52
"src2y",20,  11,12,31,3,39
"src2y",21,  11,12,31,3,38
"src2y",22,  11,12,31,3,37
"src2y",23,  11,12,31,3,36
"src2y",24,  11,12,31,3,51
"src2y",25,  11,12,31,3,50
"src2y",26,  11,12,31,3,49
"src2y",27,  11,12,31,3,48
"src2y",28,  11,12,31,3,35
"src2y",29,  11,12,31,3,34
"src2y",30,  11,12,31,3,33
"src2y",31,  11,12,31,3,32
"src2y",32,  11,12,31,3,95
"src2y",33,  11,12,31,3,94
"src2y",34,  11,12,31,3,93
"src2y",35,  11,12,31,3,92
"src2y",36,  11,12,31,3,79
"src2y",37,  11,12,31,3,78
"src2y",38,  11,12,31,3,77
"src2y",39,  11,12,31,3,76
"src2y",40,  11,12,31,3,91
"src2y",41,  11,12,31,3,90
"src2y",42,  11,12,31,3,89
"src2y",43,  11,12,31,3,88
"src2y",44,  11,12,31,3,75
"src2y",45,  11,12,31,3,74
"src2y",46,  11,12,31,3,73
"src2y",47,  11,12,31,3,72
"src2y",48,  11,12,31,3,87
"src2y",49,  11,12,31,3,86
"src2y",50,  11,12,31,3,85
"src2y",51,  11,12,31,3,84
"src2y",52,  11,12,31,3,71
